order,id,date,time,title,url,visitCount,typedCount,transition
37,16711,5/6/2024,11:34:21,imdb movie reviews dataset - Pesquisa Google,https://www.google.com/search?q=imdb+movie+reviews+dataset&sca_esv=51c078bef5da6778&sxsrf=ADLYWILADrcTqT2h_79o8ZSWcfG0tEfxAg%3A1715006029226&ei=Teo4Zse3DdrT1sQPloGvwAU&udm=&oq=imdb+movie+re&gs_lp=Egxnd3Mtd2l6LXNlcnAiDWltZGIgbW92aWUgcmUqAggBMgcQABiABBgTMgcQABiABBgTMgcQABiABBgTMgcQABiABBgTMgcQABiABBgTMgcQABiABBgTMgcQABiABBgTMgcQABiABBgTMgcQABiABBgTMgcQABiABBgTSOAyUABYrh5wAngAkAEAmAGeAaAB5QuqAQQwLjEyuAEDyAEA-AEBmAIOoALBDMICCxAAGIAEGLEDGIMBwgIFEAAYgATCAgUQLhiABMICBhAAGBYYHsICFBAuGIAEGJcFGNwEGN4EGOAE2AEBwgIMECMYgAQYExgnGIoFwgIOEAAYgAQYsQMYgwEYigXCAgQQABgDmAMAugYGCAEQARgUkgcEMi4xMqAH-kQ&sclient=gws-wiz-serp,2,0,form_submit
38,16708,5/6/2024,11:34:11,imdb 50k - Pesquisa Google,https://www.google.com/search?q=imdb+50k&oq=imdb+50k&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg80gEIMzk2OWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,4,0,generated
39,16710,5/6/2024,11:34:05,IMDB Dataset of 50K Movie Reviews,https://www.kaggle.com/datasets/lakshmi25npathi/imdb-dataset-of-50k-movie-reviews,4,0,link
40,16710,5/6/2024,11:34:05,IMDB Dataset of 50K Movie Reviews,https://www.kaggle.com/datasets/lakshmi25npathi/imdb-dataset-of-50k-movie-reviews,4,0,link
41,16710,5/6/2024,11:34:05,IMDB Dataset of 50K Movie Reviews,https://www.kaggle.com/datasets/lakshmi25npathi/imdb-dataset-of-50k-movie-reviews,4,0,link
42,16710,5/6/2024,11:34:05,IMDB Dataset of 50K Movie Reviews,https://www.kaggle.com/datasets/lakshmi25npathi/imdb-dataset-of-50k-movie-reviews,4,0,link
43,16708,5/6/2024,11:34:00,imdb 50k - Pesquisa Google,https://www.google.com/search?q=imdb+50k&oq=imdb+50k&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg80gEIMzk2OWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,4,0,generated
44,16709,5/6/2024,11:33:55,50K (2020) - IMDb,https://www.imdb.com/title/tt6881446/,2,0,link
45,16709,5/6/2024,11:33:55,50K (2020) - IMDb,https://www.imdb.com/title/tt6881446/,2,0,link
46,16708,5/6/2024,11:33:49,imdb 50k - Pesquisa Google,https://www.google.com/search?q=imdb+50k&oq=imdb+50k&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg80gEIMzk2OWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,4,0,link
47,16708,5/6/2024,11:33:49,imdb 50k - Pesquisa Google,https://www.google.com/search?q=imdb+50k&oq=imdb+50k&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg80gEIMzk2OWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,4,0,generated
48,16707,5/6/2024,11:33:13,IMDb 50K movies Reviews-LSTM,https://www.kaggle.com/code/kareemellithy/imdb-50k-movies-reviews-lstm,2,0,link
49,16707,5/6/2024,11:33:13,IMDb 50K movies Reviews-LSTM,https://www.kaggle.com/code/kareemellithy/imdb-50k-movies-reviews-lstm,2,0,link
50,16706,5/6/2024,11:33:04,Search | Kaggle,https://www.kaggle.com/search?q=movies+imdb+reviews,1,0,link
51,16704,5/6/2024,11:33:02,Search | Kaggle,https://www.kaggle.com/search,23,0,link
52,16704,5/6/2024,11:33:00,Search | Kaggle,https://www.kaggle.com/search,23,0,link
53,16704,5/6/2024,11:33:00,Search | Kaggle,https://www.kaggle.com/search,23,0,link
54,16704,5/6/2024,11:33:00,Search | Kaggle,https://www.kaggle.com/search,23,0,link
55,16704,5/6/2024,11:33:00,Search | Kaggle,https://www.kaggle.com/search,23,0,link
56,16704,5/6/2024,11:32:59,Search | Kaggle,https://www.kaggle.com/search,23,0,link
57,16704,5/6/2024,11:32:59,Search | Kaggle,https://www.kaggle.com/search,23,0,link
58,16704,5/6/2024,11:32:59,Search | Kaggle,https://www.kaggle.com/search,23,0,link
59,16704,5/6/2024,11:32:58,Search | Kaggle,https://www.kaggle.com/search,23,0,link
60,16704,5/6/2024,11:32:57,Search | Kaggle,https://www.kaggle.com/search,23,0,link
61,16704,5/6/2024,11:32:55,Search | Kaggle,https://www.kaggle.com/search,23,0,link
62,16704,5/6/2024,11:32:55,Search | Kaggle,https://www.kaggle.com/search,23,0,link
63,16704,5/6/2024,11:32:54,Search | Kaggle,https://www.kaggle.com/search,23,0,link
64,16704,5/6/2024,11:32:54,Search | Kaggle,https://www.kaggle.com/search,23,0,link
65,16704,5/6/2024,11:32:54,Search | Kaggle,https://www.kaggle.com/search,23,0,link
66,16705,5/6/2024,11:32:49,Search | Kaggle,https://www.kaggle.com/search?q=movies,1,0,link
67,16704,5/6/2024,11:32:47,Search | Kaggle,https://www.kaggle.com/search,23,0,link
68,16704,5/6/2024,11:32:47,Search | Kaggle,https://www.kaggle.com/search,23,0,link
69,16704,5/6/2024,11:32:47,Search | Kaggle,https://www.kaggle.com/search,23,0,link
70,16704,5/6/2024,11:32:47,Search | Kaggle,https://www.kaggle.com/search,23,0,link
71,16704,5/6/2024,11:32:47,Search | Kaggle,https://www.kaggle.com/search,23,0,link
72,16704,5/6/2024,11:32:46,Search | Kaggle,https://www.kaggle.com/search,23,0,link
73,16704,5/6/2024,11:32:45,Search | Kaggle,https://www.kaggle.com/search,23,0,link
74,16704,5/6/2024,11:32:45,Search | Kaggle,https://www.kaggle.com/search,23,0,link
75,16703,5/6/2024,11:32:44,Kaggle: Your Home for Data Science,https://www.kaggle.com/,4,0,link
76,16703,5/6/2024,11:32:44,Kaggle: Your Home for Data Science,https://www.kaggle.com/,4,0,link
77,16703,5/6/2024,11:32:44,Kaggle: Your Home for Data Science,https://www.kaggle.com/,4,0,link
78,16703,5/6/2024,11:32:43,Kaggle: Your Home for Data Science,https://www.kaggle.com/,4,0,typed
79,16624,5/6/2024,11:26:38,Ummy online video downloader - download de videos online,https://ummy.net/pt33ZN/,4,1,link
80,16701,5/6/2024,11:24:26,arquivo .vcf - Pesquisa Google,https://www.google.com/search?q=arquivo+.vcf&oq=arquivo+.vcf&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDQ1NjBqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,link
81,16701,5/6/2024,11:24:25,arquivo .vcf - Pesquisa Google,https://www.google.com/search?q=arquivo+.vcf&oq=arquivo+.vcf&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDQ1NjBqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,generated
82,16693,5/6/2024,11:23:34,Untitled prompt | Google AI Studio,https://aistudio.google.com/app/prompts/new_chat,3,0,link
83,16700,5/6/2024,11:23:15,Clientes_logados_Microsft_Azure | Google AI Studio,https://aistudio.google.com/app/prompts/13G20d4yxBjlH9MGyJAXQFzQpyYM4Jk5O?hl=pt-br,1,0,link
84,16682,5/6/2024,11:22:48,Clientes_logados_Microsft_Azure | Google AI Studio,https://aistudio.google.com/app/prompts/new_chat?hl=pt-br,2,0,link
85,16699,5/6/2024,11:19:40,gemini-ai · GitHub Topics,https://github.com/topics/gemini-ai,4,0,link
86,16699,5/6/2024,11:19:40,gemini-ai · GitHub Topics,https://github.com/topics/gemini-ai,4,0,link
87,16699,5/6/2024,11:19:39,gemini-ai · GitHub Topics,https://github.com/topics/gemini-ai,4,0,link
88,16699,5/6/2024,11:19:39,gemini-ai · GitHub Topics,https://github.com/topics/gemini-ai,4,0,link
89,16698,5/6/2024,11:13:23,pandas.Series.value_counts — pandas 2.2.2 documentation,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.value_counts.html,1,0,link
90,16696,5/6/2024,11:13:18,value_count pandas - Pesquisa Google,https://www.google.com/search?q=value_count+pandas&oq=value_count+pandas&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDU2MDJqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,2,0,link
91,16696,5/6/2024,11:13:18,value_count pandas - Pesquisa Google,https://www.google.com/search?q=value_count+pandas&oq=value_count+pandas&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDU2MDJqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,2,0,generated
92,16695,5/6/2024,11:05:42,pandas.unique — pandas 2.2.2 documentation,https://pandas.pydata.org/docs/reference/api/pandas.unique.html,2,0,link
93,16695,5/6/2024,11:05:41,pandas.unique — pandas 2.2.2 documentation,https://pandas.pydata.org/docs/reference/api/pandas.unique.html,2,0,link
